time,round,veh_id,rsu_id,veh_x,veh_y,dist
121.0,12,veh0,rsu_2,414.92,647.75,103.01
121.0,12,veh2,rsu_1,514.45,1143.34,84.42
121.0,12,veh4,rsu_0,359.58,888.12,27.33
121.0,12,veh7,rsu_1,603.83,1311.01,106.01
122.0,12,veh0,rsu_2,421.07,652.23,95.7
122.0,12,veh2,rsu_1,523.14,1156.1,68.99
122.0,12,veh4,rsu_0,359.58,888.12,27.33
122.0,12,veh7,rsu_1,603.84,1311.0,106.01
123.0,12,veh0,rsu_2,427.42,656.85,88.2
123.0,12,veh2,rsu_1,531.73,1169.32,53.23
123.0,12,veh4,rsu_0,359.58,888.12,27.33
123.0,12,veh7,rsu_1,603.85,1311.0,106.01
124.0,12,veh0,rsu_2,433.27,661.12,81.35
124.0,12,veh2,rsu_1,540.34,1182.65,37.37
124.0,12,veh4,rsu_0,359.58,888.12,27.33
124.0,12,veh7,rsu_1,605.46,1310.42,106.17
125.0,12,veh0,rsu_2,438.97,665.28,74.74
125.0,12,veh2,rsu_1,548.89,1195.87,21.64
125.0,12,veh4,rsu_0,359.58,888.12,27.33
125.0,12,veh7,rsu_1,608.62,1309.08,106.38
126.0,12,veh0,rsu_2,445.22,669.83,67.62
126.0,12,veh2,rsu_1,555.31,1205.81,9.84
126.0,12,veh4,rsu_0,359.58,888.12,27.33
126.0,12,veh7,rsu_1,612.94,1306.53,106.21
127.0,12,veh0,rsu_2,450.69,673.82,61.48
127.0,12,veh2,rsu_1,560.03,1212.89,1.8
127.0,12,veh4,rsu_0,359.58,888.12,27.33
127.0,12,veh7,rsu_1,616.3,1301.36,103.58
128.0,12,veh0,rsu_2,456.82,677.49,54.89
128.0,12,veh2,rsu_1,562.51,1216.4,3.36
128.0,12,veh4,rsu_0,359.58,888.12,27.33
128.0,12,veh7,rsu_1,616.95,1292.33,96.54
129.0,12,veh0,rsu_2,464.07,680.07,47.41
129.0,12,veh2,rsu_1,562.75,1216.74,3.74
129.0,12,veh4,rsu_0,360.86,887.32,26.7
129.0,12,veh7,rsu_1,612.82,1283.85,87.27
130.0,13,veh0,rsu_2,471.24,682.49,40.1
130.0,13,veh2,rsu_1,562.89,1216.95,3.98
130.0,13,veh4,rsu_0,364.01,885.23,25.37
130.0,13,veh7,rsu_1,608.09,1274.15,76.73
131.0,13,veh0,rsu_2,478.25,684.19,33.06
131.0,13,veh2,rsu_1,562.9,1216.96,4.0
131.0,13,veh4,rsu_0,368.55,881.98,24.16
131.0,13,veh7,rsu_1,602.79,1263.27,65.01
132.0,13,veh0,rsu_2,485.62,685.65,25.74
132.0,13,veh2,rsu_1,562.91,1216.97,4.01
132.0,13,veh4,rsu_0,374.08,877.31,23.9
132.0,13,veh7,rsu_1,596.07,1250.28,50.96
133.0,13,veh0,rsu_2,492.37,686.28,19.07
133.0,13,veh2,rsu_1,562.91,1216.97,4.01
133.0,13,veh4,rsu_0,379.23,871.57,24.94
133.0,13,veh7,rsu_1,590.64,1239.82,39.94
134.0,13,veh0,rsu_2,500.2,686.77,11.43
134.0,13,veh2,rsu_1,562.91,1216.97,4.01
134.0,13,veh4,rsu_0,383.56,865.48,27.28
134.0,13,veh7,rsu_1,586.84,1232.49,32.53
