round,t_start,t_end,rsu_id,unique_vehicles,total_connected_time_s,avg_dist,min_dist,max_dist,handover_in,handover_out
30,300.0,310.0,rsu_0,1,2.0,132.971,126.028,139.914,0,0
30,300.0,310.0,rsu_1,0,0.0,,,,0,0
30,300.0,310.0,rsu_2,0,0.0,,,,0,0
31,310.0,320.0,rsu_0,0,0.0,,,,0,0
31,310.0,320.0,rsu_1,1,10.0,87.753,28.507,147.155,0,0
31,310.0,320.0,rsu_2,0,0.0,,,,0,0
32,320.0,330.0,rsu_0,0,0.0,,,,0,0
32,320.0,330.0,rsu_1,1,10.0,6.718,4.801,15.062,0,0
32,320.0,330.0,rsu_2,0,0.0,,,,0,0
33,330.0,340.0,rsu_0,0,0.0,,,,0,0
33,330.0,340.0,rsu_1,1,10.0,7.847,5.945,17.851,0,0
33,330.0,340.0,rsu_2,0,0.0,,,,0,0
34,340.0,350.0,rsu_0,0,0.0,,,,0,0
34,340.0,350.0,rsu_1,1,10.0,71.374,25.564,97.588,0,0
34,340.0,350.0,rsu_2,0,0.0,,,,0,0
35,350.0,360.0,rsu_0,0,0.0,,,,0,0
35,350.0,360.0,rsu_1,1,10.0,101.404,97.593,114.26,0,0
35,350.0,360.0,rsu_2,0,0.0,,,,0,0
36,360.0,370.0,rsu_0,0,0.0,,,,0,0
36,360.0,370.0,rsu_1,1,5.0,133.016,118.488,149.798,0,0
36,360.0,370.0,rsu_2,0,0.0,,,,0,0
37,370.0,380.0,rsu_0,0,0.0,,,,0,0
37,370.0,380.0,rsu_1,0,0.0,,,,0,0
37,370.0,380.0,rsu_2,0,0.0,,,,0,0
38,380.0,390.0,rsu_0,0,0.0,,,,0,0
38,380.0,390.0,rsu_1,0,0.0,,,,0,0
38,380.0,390.0,rsu_2,0,0.0,,,,0,0
39,390.0,400.0,rsu_0,0,0.0,,,,0,0
39,390.0,400.0,rsu_1,0,0.0,,,,0,0
39,390.0,400.0,rsu_2,0,0.0,,,,0,0
40,400.0,410.0,rsu_0,0,0.0,,,,0,0
40,400.0,410.0,rsu_1,0,0.0,,,,0,0
40,400.0,410.0,rsu_2,0,0.0,,,,0,0
41,410.0,420.0,rsu_0,0,0.0,,,,0,0
41,410.0,420.0,rsu_1,0,0.0,,,,0,0
41,410.0,420.0,rsu_2,0,0.0,,,,0,0
